epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1746,1.5627,7.59574,1.63973,0.013,0.5,0.00828,0.00593,1.68663,8.11314,1.86384,2e-05,2e-05,2e-05
2,14.0852,1.45507,7.03516,1.52728,0.01083,0.33333,0.01072,0.00813,1.64694,7.96573,1.82628,5.703e-05,5.703e-05,5.703e-05
3,17.9218,1.3175,7.22148,1.34044,0.22853,0.16667,0.08745,0.05523,1.2303,8.19314,1.62352,9.01e-05,9.01e-05,9.01e-05
4,22.4231,1.19836,5.94472,1.37595,0.30347,0.16667,0.12109,0.08566,1.19716,8.33404,1.59727,0.00011921,0.00011921,0.00011921
5,26.7924,1.06107,4.76952,1.22447,0.77491,0.5,0.50235,0.38891,1.19898,8.90069,1.2561,0.00014436,0.00014436,0.00014436
6,31.2275,1.36789,4.35745,1.24601,0.858,0.5,0.50713,0.31359,1.34983,8.78518,1.17631,0.00016555,0.00016555,0.00016555
7,35.506,1.28137,2.94102,1.45914,0.84079,0.5,0.58175,0.33008,1.4011,8.44824,1.12028,0.00018278,0.00018278,0.00018278
8,39.7083,1.45377,2.73224,1.39652,0.32132,0.33333,0.2327,0.14305,1.44304,9.57527,1.16126,0.00019605,0.00019605,0.00019605
9,44.1545,1.22783,2.32518,1.24615,0.59263,0.33333,0.41551,0.2515,1.47393,8.53341,1.18629,0.00020536,0.00020536,0.00020536
10,49.183,1.02842,1.86244,1.11262,0.85024,0.33333,0.45067,0.27375,1.58502,6.09175,1.21966,0.00021071,0.00021071,0.00021071
11,65.0234,1.06321,2.69474,1.17031,0.90784,0.33333,0.49575,0.30358,1.72884,6.07495,1.29858,0.0002121,0.0002121,0.0002121
12,70.2297,1.31656,2.6498,1.27912,0.95316,0.33333,0.50301,0.29267,1.67204,6.25604,1.26461,0.00020953,0.00020953,0.00020953
13,75.6712,1.21497,2.69897,1.16784,0.4999,0.66667,0.56889,0.31412,1.45209,5.65795,1.17994,0.000203,0.000203,0.000203
14,81.1369,1.05052,2.48472,1.25998,0.96434,0.66667,0.80694,0.45069,1.45675,4.4325,1.14567,0.00019251,0.00019251,0.00019251
15,86.9152,1.13047,2.35396,1.11142,0.97924,0.83333,0.83527,0.4932,1.46815,3.52934,1.12144,0.00017806,0.00017806,0.00017806
16,92.2989,1.01728,1.73714,0.99438,0.97954,0.83333,0.83527,0.50478,1.48357,3.1489,1.13018,0.00015965,0.00015965,0.00015965
17,97.984,0.9575,1.7245,1.23663,0.97559,0.83333,0.83527,0.50726,1.42903,2.88364,1.13022,0.00013728,0.00013728,0.00013728
18,103.894,0.89863,1.84408,0.99821,0.97703,0.83333,0.83527,0.51224,1.40591,2.69218,1.11874,0.00011095,0.00011095,0.00011095
19,109.601,0.84126,1.60984,0.99623,0.97974,0.83333,0.83527,0.49393,1.44349,2.50562,1.12099,8.066e-05,8.066e-05,8.066e-05
20,115.063,1.00592,1.73186,1.0329,0.98136,0.83333,0.83527,0.48129,1.43269,2.33,1.11772,4.641e-05,4.641e-05,4.641e-05
