epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5053,1.43072,2.99174,4.63469,1.45666,0,0.7044,0.11905,0.06428,0.04367,0.7044,0.11905,0.06764,0.0414,1.31258,3.4101,4.82643,1.42214,0,8.33e-06,8.33e-06,8.33e-06
2,31.2528,1.24728,3.08137,4.49595,1.42931,0,0.70776,0.11905,0.06263,0.04259,0.70776,0.11905,0.06583,0.03958,1.29914,3.49047,4.77735,1.41944,0,2.3753e-05,2.3753e-05,2.3753e-05
3,42.5276,1.36741,3.14623,3.97107,1.38829,0,0.3811,0.10558,0.07791,0.05139,0.3811,0.10558,0.07742,0.04639,1.24795,3.34061,4.44205,1.39544,0,3.75266e-05,3.75266e-05,3.75266e-05
4,59.3558,1.33936,2.81373,3.90006,1.3776,0,0.10415,0.23551,0.0705,0.05001,0.10625,0.25385,0.07012,0.04569,1.22485,3.14132,4.27463,1.35818,0,4.9651e-05,4.9651e-05,4.9651e-05
5,76.7451,1.16484,2.56655,2.98204,1.26421,0,0.41991,0.15974,0.0931,0.07197,0.41991,0.15974,0.09722,0.06709,1.23545,2.92618,4.49196,1.34337,0,6.01259e-05,6.01259e-05,6.01259e-05
6,94.0762,1.09503,2.33742,2.73774,1.23515,0,0.12716,0.17547,0.1002,0.07502,0.13357,0.17902,0.10694,0.07283,1.23697,2.85453,5.39222,1.36405,0,6.89516e-05,6.89516e-05,6.89516e-05
7,115.021,1.03721,1.98559,2.1023,1.21052,0,0.15668,0.17533,0.11555,0.08201,0.16305,0.17878,0.12193,0.07752,1.26504,2.96494,6.48095,1.39417,0,7.61279e-05,7.61279e-05,7.61279e-05
8,132.933,0.99645,1.93589,1.95586,1.15916,0,0.34958,0.19218,0.12031,0.08467,0.33938,0.20353,0.12528,0.07978,1.34164,3.07078,5.99586,1.43915,0,8.16548e-05,8.16548e-05,8.16548e-05
9,151.576,1.01134,2.03206,1.67809,1.09201,0,0.29798,0.21747,0.11339,0.07494,0.30059,0.22293,0.1151,0.07092,1.34832,3.02824,5.53984,1.44872,0,8.55324e-05,8.55324e-05,8.55324e-05
10,168.002,1.1041,2.07123,1.77674,1.12581,0,0.1004,0.19095,0.10306,0.0692,0.10517,0.18073,0.10538,0.06502,1.33497,2.9714,4.956,1.4366,0,8.77607e-05,8.77607e-05,8.77607e-05
11,209.3,0.97275,1.86814,1.96051,1.1726,0,0.11157,0.17182,0.10265,0.07047,0.11494,0.18001,0.10309,0.06249,1.33264,3.08592,4.88513,1.45085,0,8.83397e-05,8.83397e-05,8.83397e-05
12,224.87,0.92997,1.76283,1.75792,1.0731,0,0.3761,0.10488,0.12639,0.09028,0.36878,0.10215,0.12529,0.08179,1.32473,3.10254,4.88231,1.45013,0,8.72692e-05,8.72692e-05,8.72692e-05
13,242.07,1.02587,1.88682,2.1828,1.11121,0,0.12529,0.15737,0.13339,0.09639,0.12205,0.16124,0.12958,0.08829,1.31766,3.09022,4.68077,1.44729,0,8.45495e-05,8.45495e-05,8.45495e-05
14,256.165,0.94972,1.85093,1.5374,1.10165,0,0.34877,0.13162,0.13745,0.10048,0.32492,0.13696,0.13498,0.09128,1.30984,3.18743,4.20749,1.453,0,8.01804e-05,8.01804e-05,8.01804e-05
15,270.394,0.89266,1.70359,1.43726,1.12393,0,0.33984,0.13801,0.14082,0.10243,0.34471,0.13642,0.14172,0.09172,1.30643,3.16745,3.84588,1.4563,0,7.4162e-05,7.4162e-05,7.4162e-05
16,287.577,0.91507,1.73982,1.45585,1.08935,0,0.35148,0.13916,0.14129,0.10202,0.35361,0.13757,0.1442,0.09003,1.30812,3.1504,3.53812,1.45882,0,6.64942e-05,6.64942e-05,6.64942e-05
17,301.621,0.87788,1.78853,1.36363,1.00761,0,0.5341,0.14303,0.14619,0.10043,0.53032,0.13589,0.14785,0.09083,1.31221,3.13564,3.32221,1.46117,0,5.71771e-05,5.71771e-05,5.71771e-05
18,316.537,0.84054,1.50597,1.25545,1.0255,0,0.52581,0.15144,0.1507,0.10316,0.57242,0.12718,0.15473,0.09496,1.30831,3.12183,3.11683,1.45592,0,4.62107e-05,4.62107e-05,4.62107e-05
19,329.923,0.88977,1.57788,1.3821,1.10317,0,0.55127,0.15248,0.16057,0.10915,0.55918,0.14018,0.16202,0.1001,1.28931,3.07064,2.97929,1.44135,0,3.35949e-05,3.35949e-05,3.35949e-05
20,346.269,0.85708,1.71917,1.48134,1.05737,0,0.52145,0.16889,0.16806,0.11393,0.56017,0.14205,0.16613,0.10239,1.27918,3.07758,2.84956,1.43693,0,1.93298e-05,1.93298e-05,1.93298e-05
